,group,names,scores,logfoldchanges,pvals,pvals_adj
355,Floor,ATP10D,0.8495011,1.4219341,0.3956025359928368,1.0
356,Floor,ATP5F1,0.8452852,1.0136015,0.3979516322941048,1.0
357,Floor,RP11-452L6.5,0.8452852,3.314993,0.3979516322941048,1.0
358,Floor,7SK,0.8452852,3.314993,0.3979516322941048,1.0
359,Floor,YPEL5,0.84317726,0.42940438,0.3991293260271088,1.0
360,Floor,CLK1,0.84317726,0.84110105,0.3991293260271088,1.0
361,Floor,MTIF2,0.84317726,1.3790059,0.3991293260271088,1.0
362,Floor,NDUFB1,0.84317726,1.3790059,0.3991293260271088,1.0
363,Floor,SLC2A4RG,0.8368534,1.3372426,0.4026749714519804,1.0
364,Floor,KIAA1147,0.83474547,0.8562035,0.4038610361824091,1.0
365,Floor,LEPREL1,0.83474547,0.97868407,0.4038610361824091,1.0
366,Floor,EIF6,0.83474547,0.87246305,0.4038610361824091,1.0
367,Floor,ID2,0.83263755,1.4088335,0.40504918974396453,1.0
368,Floor,N4BP2L1,0.83263755,0.9024591,0.40504918974396453,1.0
369,Floor,CDYL,0.8305296,0.599609,0.40623943052662514,1.0
370,Floor,FAF2,0.8305296,1.2965809,0.40623943052662514,1.0
371,Floor,ZNF780B,0.8305296,3.5491102,0.40623943052662514,1.0
372,Floor,SETD7,0.8263137,1.3732306,0.40862616720819445,1.0
373,Floor,KLF10,0.8263137,0.83355844,0.40862616720819445,1.0
374,Floor,SGK1,0.8263137,3.350874,0.40862616720819445,1.0
